deal_id,rep_id,customer,product,deal_value,stage,close_date,month,sales_cycle_days
1,1,Client_004,Starter Pack,6143.370117,Won,1/21/2024,1/1/2024,28
2,1,Client_018,Enterprise Suite,1141.439941,Won,1/8/2024,1/1/2024,42
3,1,Client_012,Support Contract,1141.25,Won,1/22/2024,1/1/2024,83
4,1,Client_004,Enterprise Suite,402.6700134,Won,1/14/2024,1/1/2024,18
5,1,Client_065,Support Contract,13533.95996,Won,1/7/2024,1/1/2024,43
6,1,Client_026,Support Contract,6184.680176,Won,1/1/2024,1/1/2024,85
7,1,Client_058,Support Contract,8285.320313,Won,1/14/2024,1/1/2024,42
8,1,Client_098,Pro License,139.9600067,Won,1/9/2024,1/1/2024,14
9,1,Client_044,Starter Pack,23576.11914,Won,1/23/2024,1/1/2024,68
10,1,Client_098,Starter Pack,12021.23047,Won,1/5/2024,1/1/2024,41
11,1,Client_049,Enterprise Suite,1606.180054,Won,1/4/2024,1/1/2024,25
12,1,Client_078,Starter Pack,1350.410034,Won,1/12/2024,1/1/2024,58
13,1,Client_094,Consulting Package,1363.410034,Won,1/26/2024,1/1/2024,19
14,1,Client_049,Enterprise Suite,2441.040039,Won,1/18/2024,1/1/2024,29
15,1,Client_081,Support Contract,5006.029785,Won,1/18/2024,1/1/2024,51
16,1,Client_074,Pro License,3805.610107,Won,1/28/2024,1/1/2024,60
17,1,Client_006,Pro License,2316.340088,Won,1/23/2024,1/1/2024,22
18,1,Client_011,Pro License,6368.310059,Won,1/25/2024,1/1/2024,51
19,1,Client_049,Starter Pack,1010.960022,Won,1/28/2024,1/1/2024,26
20,1,Client_082,Starter Pack,0,Lost,1/15/2024,1/1/2024,24
21,1,Client_046,Pro License,0,Lost,1/12/2024,1/1/2024,56
22,1,Client_090,Enterprise Suite,0,Lost,1/9/2024,1/1/2024,52
23,1,Client_022,Support Contract,0,Lost,1/21/2024,1/1/2024,60
24,1,Client_021,Consulting Package,0,Lost,1/8/2024,1/1/2024,38
25,1,Client_082,Support Contract,0,Lost,1/9/2024,1/1/2024,28
26,1,Client_042,Enterprise Suite,0,Lost,1/22/2024,1/1/2024,28
27,1,Client_005,Starter Pack,0,Lost,1/27/2024,1/1/2024,39
28,1,Client_009,Pro License,0,Lost,1/9/2024,1/1/2024,50
29,1,Client_041,Pro License,0,Lost,1/23/2024,1/1/2024,55
30,1,Client_083,Consulting Package,7891.350098,Won,2/16/2024,2/1/2024,64
31,1,Client_018,Pro License,1142.890015,Won,2/5/2024,2/1/2024,47
32,1,Client_069,Starter Pack,3704.830078,Won,2/24/2024,2/1/2024,85
33,1,Client_055,Support Contract,4605.220215,Won,2/24/2024,2/1/2024,88
34,1,Client_029,Pro License,244.0599976,Won,2/13/2024,2/1/2024,60
35,1,Client_012,Enterprise Suite,4799.319824,Won,2/17/2024,2/1/2024,77
36,1,Client_020,Pro License,959.3200073,Won,2/28/2024,2/1/2024,28
37,1,Client_077,Enterprise Suite,345.1400146,Won,2/26/2024,2/1/2024,68
38,1,Client_077,Consulting Package,15258.37988,Won,2/13/2024,2/1/2024,62
39,1,Client_071,Enterprise Suite,17295.15039,Won,2/17/2024,2/1/2024,46
40,1,Client_088,Support Contract,8478.330078,Won,2/22/2024,2/1/2024,28
41,1,Client_099,Starter Pack,1864.079956,Won,2/25/2024,2/1/2024,48
42,1,Client_056,Pro License,527.3599854,Won,2/4/2024,2/1/2024,51
43,1,Client_093,Starter Pack,5914.919922,Won,2/15/2024,2/1/2024,14
44,1,Client_065,Enterprise Suite,2976.52002,Won,2/17/2024,2/1/2024,36
45,1,Client_082,Support Contract,667.8300171,Won,2/28/2024,2/1/2024,52
46,1,Client_020,Starter Pack,3507.370117,Won,2/20/2024,2/1/2024,39
47,1,Client_070,Support Contract,179.5599976,Won,2/25/2024,2/1/2024,34
48,1,Client_042,Consulting Package,12316.88965,Won,2/1/2024,2/1/2024,90
49,1,Client_015,Starter Pack,0,Lost,2/1/2024,2/1/2024,33
50,1,Client_008,Pro License,0,Lost,2/8/2024,2/1/2024,50
51,1,Client_011,Consulting Package,0,Lost,2/3/2024,2/1/2024,18
52,1,Client_069,Pro License,0,Lost,2/25/2024,2/1/2024,22
53,1,Client_061,Support Contract,0,Lost,2/22/2024,2/1/2024,24
54,1,Client_068,Support Contract,0,Lost,2/9/2024,2/1/2024,41
55,1,Client_070,Pro License,0,Lost,2/7/2024,2/1/2024,59
56,1,Client_086,Starter Pack,3417.669922,Won,3/10/2024,3/1/2024,65
57,1,Client_058,Enterprise Suite,3683.560059,Won,3/15/2024,3/1/2024,80
58,1,Client_009,Starter Pack,951.5300293,Won,3/8/2024,3/1/2024,42
59,1,Client_071,Pro License,16260.82031,Won,3/1/2024,3/1/2024,89
60,1,Client_001,Enterprise Suite,6947.169922,Won,3/19/2024,3/1/2024,42
61,1,Client_030,Enterprise Suite,13059.16016,Won,3/23/2024,3/1/2024,21
62,1,Client_010,Support Contract,10484.92969,Won,3/2/2024,3/1/2024,56
63,1,Client_086,Consulting Package,4241.430176,Won,3/8/2024,3/1/2024,49
64,1,Client_017,Support Contract,11868.94043,Won,3/7/2024,3/1/2024,83
65,1,Client_032,Consulting Package,431.3599854,Won,3/19/2024,3/1/2024,74
66,1,Client_025,Enterprise Suite,1015.530029,Won,3/26/2024,3/1/2024,66
67,1,Client_046,Consulting Package,215.4700012,Won,3/4/2024,3/1/2024,69
68,1,Client_094,Enterprise Suite,1832.089966,Won,3/14/2024,3/1/2024,73
69,1,Client_008,Consulting Package,2291.120117,Won,3/22/2024,3/1/2024,26
70,1,Client_014,Pro License,1473.75,Won,3/24/2024,3/1/2024,57
